experiment,scenario,model,bandwidth_mb_s,beta,compression_ratio,method,md_gflops,es_gflops,local_power_w,upload_power_w,cost,latency,energy,local_time,upload_time,wait_time,server_time,down_time,partition,transmitted_node_count,local_node_count,cloud_node_count,runtime_ms,runtime_ms_std
single_pair_partition,standard_pair,alexnet,1.0,1.0,4.0,Only-Local,3.0,35.0,2.0,1.0,1.42914432,0.47638144,0.95276288,0.47638144,0,0.0,0,0.0,local-only,0,21,0,0.07643333333332929,0.028184668803296332
single_pair_partition,standard_pair,alexnet,1.0,1.0,4.0,Only-Server,3.0,35.0,2.0,1.0,1.1896516645837054,0.6154329145837053,0.57421875,0,0.57421875,0.0,0.04083269485714285,0.0003814697265625,server-only,1,0,21,0.04653333333356121,0.0031201851793750245
single_pair_partition,standard_pair,alexnet,1.0,1.0,4.0,ChainTopo,3.0,35.0,2.0,1.0,0.2670652427390625,0.12864583516614583,0.13841940757291665,0.04696238933333333,0.04449462890625,0.0,0.03680734720000001,0.0003814697265625,features_2,1,3,18,1.126866666666615,0.021643372093101833
single_pair_partition,standard_pair,alexnet,1.0,1.0,4.0,GreedyCut,3.0,35.0,2.0,1.0,0.2670652427390625,0.12864583516614583,0.13841940757291665,0.04696238933333333,0.04449462890625,0.0,0.0368073472,0.0003814697265625,features_2,1,3,18,1.2158666666663247,0.046913561176073794
single_pair_partition,standard_pair,alexnet,1.0,1.0,4.0,MinCut,3.0,35.0,2.0,1.0,0.2670652427390625,0.12864583516614583,0.13841940757291665,0.04696238933333333,0.04449462890625,0.0,0.03680734720000001,0.0003814697265625,features_2,1,3,18,36.38450000000019,50.584656004167975
single_pair_partition,standard_pair,tiny_yolov2,1.0,1.0,4.0,Only-Local,3.0,35.0,2.0,1.0,6.991116287999997,2.330372095999999,4.660744191999998,2.330372095999999,0,0.0,0,0.0,local-only,0,30,0,0.04863333333323302,0.008352378237194933
single_pair_partition,standard_pair,tiny_yolov2,1.0,1.0,4.0,Only-Server,3.0,35.0,2.0,1.0,4.1687422276307755,2.1882734776307755,1.98046875,0,1.98046875,0.0,0.1997461796571429,0.008058547973632812,server-only,1,0,30,0.03403333333344231,0.0011953614047813933
single_pair_partition,standard_pair,tiny_yolov2,1.0,1.0,4.0,ChainTopo,3.0,35.0,2.0,1.0,1.4146597150022044,0.7093961820022043,0.705263533,0.187592704,0.330078125,0.0,0.18366680502857147,0.008058547973632812,features_7,1,8,22,1.2393666666665009,0.039299392135350934
single_pair_partition,standard_pair,tiny_yolov2,1.0,1.0,4.0,GreedyCut,3.0,35.0,2.0,1.0,1.4146597150022044,0.7093961820022043,0.705263533,0.187592704,0.330078125,0.0,0.18366680502857144,0.008058547973632812,features_7,1,8,22,1.3851666666665114,0.01877344460156468
single_pair_partition,standard_pair,tiny_yolov2,1.0,1.0,4.0,MinCut,3.0,35.0,2.0,1.0,1.4146597150022044,0.7093961820022043,0.705263533,0.187592704,0.330078125,0.0,0.18366680502857147,0.008058547973632812,features_7,1,8,22,1.7081999999997894,0.03839591992220119
single_pair_partition,standard_pair,googlenet,1.0,1.0,4.0,Only-Local,3.0,35.0,2.0,1.0,3.0074665280000015,1.0024888426666672,2.0049776853333343,1.0024888426666672,0,0.0,0,0.0,local-only,0,196,0,0.2667333333334909,0.04193728121288568
single_pair_partition,standard_pair,googlenet,1.0,1.0,4.0,Only-Server,3.0,35.0,2.0,1.0,1.2347465848122767,0.6605278348122768,0.57421875,0,0.57421875,0.0,0.08592761508571435,0.0003814697265625,server-only,1,0,196,0.1555000000005672,0.003556215217116479
single_pair_partition,standard_pair,googlenet,1.0,1.0,4.0,ChainTopo,3.0,35.0,2.0,1.0,0.7005505000122768,0.3503204846789435,0.3502300153333333,0.07941188266666667,0.19140625,0.0,0.07912088228571433,0.0003814697265625,maxpool1,1,4,192,44.28793333333362,0.4667720809514404
single_pair_partition,standard_pair,googlenet,1.0,1.0,4.0,GreedyCut,3.0,35.0,2.0,1.0,0.7005505000122768,0.3503204846789435,0.3502300153333333,0.07941188266666667,0.19140625,0.0,0.07912088228571433,0.0003814697265625,maxpool1,1,4,192,112.47473333333306,2.3919136346349497
single_pair_partition,standard_pair,googlenet,1.0,1.0,4.0,MinCut,3.0,35.0,2.0,1.0,0.7005505000122768,0.3503204846789435,0.3502300153333333,0.07941188266666667,0.19140625,0.0,0.07912088228571433,0.0003814697265625,maxpool1,1,4,192,6.789699999999972,0.07863027406797841
single_pair_partition,standard_pair,densenet121,1.0,1.0,4.0,Only-Local,3.0,35.0,2.0,1.0,5.716228864000003,1.9054096213333342,3.8108192426666685,1.9054096213333342,0,0.0,0,0.0,local-only,0,430,0,0.5885666666690289,0.03364177297686211
single_pair_partition,standard_pair,densenet121,1.0,1.0,4.0,Only-Server,3.0,35.0,2.0,1.0,1.312139794412277,0.7379210444122769,0.57421875,0,0.57421875,0.0,0.16332082468571443,0.0003814697265625,server-only,1,0,430,0.38646666666863894,0.005478645415002923
single_pair_partition,standard_pair,densenet121,1.0,1.0,4.0,ChainTopo,3.0,35.0,2.0,1.0,0.7787235880122769,0.42795836201227694,0.350765226,0.07967948799999999,0.19140625,0.0,0.15649115428571442,0.0003814697265625,features_pool0,1,4,426,299.0507999999987,1.6598445770607
single_pair_partition,standard_pair,densenet121,1.0,1.0,4.0,GreedyCut,3.0,35.0,2.0,1.0,0.7787235880122769,0.4279583620122769,0.350765226,0.07967948799999999,0.19140625,0.0,0.15649115428571436,0.0003814697265625,features_pool0,1,4,426,334.43586666666886,0.8089926300984228
single_pair_partition,standard_pair,densenet121,1.0,1.0,4.0,MinCut,3.0,35.0,2.0,1.0,0.7787235880122769,0.42795836201227694,0.350765226,0.07967948799999999,0.19140625,0.0,0.15649115428571442,0.0003814697265625,features_pool0,1,4,426,23.049033333331675,0.2144145569301653
single_pair_partition,standard_pair,resnet101,1.0,1.0,4.0,Only-Local,3.0,35.0,2.0,1.0,15.659635200000032,5.2198784000000105,10.439756800000021,5.2198784000000105,0,0.0,0,0.0,local-only,0,344,0,0.4875333333321426,0.13608140537233362
single_pair_partition,standard_pair,resnet101,1.0,1.0,4.0,Only-Server,3.0,35.0,2.0,1.0,1.596237118297991,1.022018368297991,0.57421875,0,0.57421875,0.0,0.4474181485714286,0.0003814697265625,server-only,1,0,344,0.2798666666592453,0.004553631030411588
single_pair_partition,standard_pair,resnet101,1.0,1.0,4.0,ChainTopo,3.0,35.0,2.0,1.0,1.062820911897991,0.7120556858979911,0.350765226,0.07967948799999999,0.19140625,0.0,0.44058847817142854,0.0003814697265625,maxpool,1,4,340,127.88986666666347,0.5876246099444481
single_pair_partition,standard_pair,resnet101,1.0,1.0,4.0,GreedyCut,3.0,35.0,2.0,1.0,1.062820911897991,0.712055685897991,0.350765226,0.07967948799999999,0.19140625,0.0,0.4405884781714284,0.0003814697265625,maxpool,1,4,340,157.28779999998702,1.451618492123262
single_pair_partition,standard_pair,resnet101,1.0,1.0,4.0,MinCut,3.0,35.0,2.0,1.0,1.062820911897991,0.7120556858979911,0.350765226,0.07967948799999999,0.19140625,0.0,0.44058847817142854,0.0003814697265625,maxpool,1,4,340,18.673233333326305,0.19469676136876293
single_pair_topology_stress,googlenet_pair_stress,googlenet,0.05,1.0,4.0,Only-Local,1.0,5.0,2.0,1.0,9.022399584000002,3.0074665280000006,6.014933056000001,3.0074665280000006,0,0.0,0,0.0,local-only,0,196,0,0.2909333333320774,0.10389434805562904
single_pair_topology_stress,googlenet_pair_stress,googlenet,0.05,1.0,4.0,Only-Server,1.0,5.0,2.0,1.0,23.570624775326564,12.086249775326563,11.484375,0,11.484375,0.0,0.6014933055999998,0.0003814697265625,server-only,1,0,196,0.19090000000687724,0.021946449975296104
single_pair_topology_stress,googlenet_pair_stress,googlenet,0.05,1.0,4.0,ChainTopo,1.0,5.0,2.0,1.0,8.925184589726562,4.620588293726562,4.304596296,0.23823564800000002,3.828125,0.0,0.5538461759999996,0.0003814697265625,maxpool1,1,4,192,48.13563333333567,1.7726983900933548
single_pair_topology_stress,googlenet_pair_stress,googlenet,0.05,1.0,4.0,GreedyCut,1.0,5.0,2.0,1.0,8.925184589726562,4.620588293726562,4.304596296,0.23823564800000002,3.828125,0.0,0.5538461759999997,0.0003814697265625,maxpool1,1,4,192,151.06020000000817,19.607021498085146
single_pair_topology_stress,googlenet_pair_stress,googlenet,0.05,1.0,4.0,MinCut,1.0,5.0,2.0,1.0,8.412309731076563,3.4230272292015624,4.989282501875,1.8067750400000002,1.375732421875,0.0,0.24013829759999986,0.0003814697265625,"inception4a_branch1_conv,inception4a_branch2_0_conv,inception4a_branch3_0_conv,inception4a_branch4_1_conv",4,57,139,65.64443333333732,6.366942470979897
